Match_ID,Column_ID,Term_ID
1,address.street_address,26
2,address.city,27
3,address.state,28
4,address.zipcode,29
5,construction_details.home_type,21
6,construction_details.home_type,22
7,construction_details.roof_material,31
8,construction_details.major_remodel_year,40
9,hoa_and_financial_details.annual_tax_amount,14
10,home_facts.beds,7
11,home_facts.baths,8
12,home_facts.living_area,11
13,home_facts.living_area,33
14,home_facts.house_type,21
15,home_facts.house_type,22
16,home_facts.year_built,39
17,home_facts.heating,23
18,home_facts.cooling,19
19,home_facts.price,10
21,home_facts.price_per_sqft,32
22,interior_details.flooring,24
23,interior_details.appliances,25
24,interior_details.total_interior_livable_area,11
25,interior_details.total_interior_livable_area,33
26,listing_agents.agent_name,1
27,listing_agents.phone_number,3
28,listing_agents.agent_license_number,5
29,listing_agents.posting_group_name,2
30,metadata_details.mls_id,42
31,overview.overview,9
32,property_details.garage_spaces,16
33,property_details.total_spaces,15
34,property_details.stories,37
35,property_details.lot_size,12
36,home_facts.parking,15
37,home_facts.price,35
