Match_ID,Column_ID,Term_ID
1,offer.price,5
2,property_overview.price_per_sqft,32
3,property_overview.property_type,17
4,property_overview.property_year,39
5,property_overview.home_style,16
6,"property_overview.description",4
7,"property_overview.beds",2
8,"property_overview.bath",3
9,"property_overview.sqft",6
10,"property_overview.lotsize",7
11,address.streetAddress,26
12,address.address_locality,27
13,address.address_region,28
14,address.postal_code,29
15,address.longitude,30
16,address.latitude,30
17,RealEstateAgent.branding_agent_name,18
18,RealEstateAgent.branding_office_name,19
19,mortgage.principal_interest,36
20,mortgage.property_tax_section,"8,9"
21,mortgage.hoa,34
22,property_overview.property_id,42
