Match_ID,Column_ID,Term_ID
1,address.street_address,26
2,address.locality,27
3,address.region,28
4,address.postal_code,29
5,agents.agent_name,1
6,agents.agent_license,5
7,agents.agent_org,2
8,home_facts.property_type,22
9,home_facts.hoa_dues,34
10,home_facts.style,21
11,home_facts.year_built,39
12,home_facts.community,44
13,home_facts.MLS#,42
14,listed_by.status,6
15,main_stats.price,10
16,main_stats.beds,7
17,main_stats.baths,8
18,main_stats.area,11
19,main_stats.cost_per_squre_feet,32
20,price_insights.listing_price,10
21,price_insights.est._mo._payment,36
22,price_insights.redfin_estimate,35
23,price_insights.price_per_Sq_ft,32
24,public_facts.beds,7
25,public_facts.baths,8
26,public_facts.finished_sq_ft,17
27,public_facts.unfinished_sq_ft,18
28,public_facts.total_sq.ft,11
29,public_facts.stories,45
30,public_facts.lot_size,12
31,public_facts.style,21
32,public_facts.year_built,39
33,public_facts.year_renovated,40
34,public_facts.county,46
35,public_facts.APN,41
