Match_ID,Zillow_Column_ID,Realtor_Column_ID,Remax_Column_ID,Redfin_Column_ID,Label
1,address.house_id,address.property_id,address.listing_id,address.listing_id,listing_id_1
2,address.street_address,address.streetAddress,address.address,address.street_address,street_address_2
3,address.city,address.address_locality,address.location,address.locality,locality_3
4,address.state,address.address_region,,address.region,region_4
5,address.zipcode,address.postal_code,,address.postal_code,postal_code_5
6,agent_house_listing.house_id,RealEstateAgent.property_id,listing_agent.listing_id,listed_by.listing_id,listing_id_1
7,agent_house_listing.agent_id,RealEstateAgent.agent_id,,listed_by.agent_id,agent_id_6
8,construction_details.house_id,,Building_And_Construction.listing_id,,listing_id_1
9,construction_details.home_type,,Building_And_Construction.Property_Type,,home_style_7
10,construction_details.major_remodel_year,,,public_facts.year_renovated,remodel_8
11,hoa_and_financial_details.annual_tax_amount,,financial_info.Tax_Annual_Amount,,tax_9
12,home_facts.house_id,offer.property_id,listing_detail_stats.listing_id,,listing_id_1
13,home_facts.beds,property_overview.beds,"listing_detail_stats.bedrooms, interior.Bedrooms_Total",public_facts.beds,beds_19
14,home_facts.baths,property_overview.bath,"listing_detail_stats.total_baths, interior.Bathrooms_Total",public_facts.baths,baths_11
15,home_facts.living_area,,interior.Living_Area,public_facts.total_sq.ft,lviing_area_12
16,home_facts.house_type,property_overview.property_type,,home_facts.property_type,house_type_13
17,home_facts.year_built,property_overview.property_year,"Building_And_Construction.Year_Built,listing_detail_stats.year_built","home_facts.year_built, public_facts.year_built",year_built_14
18,home_facts.price,offer.price,listing_detail_stats.price,price_insights.listing_price,price_15
19,home_facts.price_per_sqft,property_overview.price_per_sqft,,price_insights.price_per_Sq_ft,price_per_sq_ft_16
20,interior_details.house_id,,interior.listing_id,,listing_id_1
21,interior_details.full_bathrooms,,"listing_detail_stats.full_baths,interior.Bathrooms_Total",,baths_11
22,interior_details.half_bathrooms,,interior.Bathrooms_Half,,baths_11
23,interior_details.flooring,,interior.Flooring,,flooring_17
24,interior_details.appliances,,interior.Appliances,,Appliances_18
25,listing_agents.agent_id,"offer.agent_id, RealEstateAgent.agent_id",,agents.agent_id,agent_id_6
26,listing_agents.agent_name,RealEstateAgent.brandinng_agent_name,listing_agent.listed_by,agents.agent_name,agent_name_19
27,listing_agents.agent_license_number,,,agents.agent_license,Agent_license_20
28,listing_agents.posting_group_name,RealEstateAgent.brandinng_office_name,,agents.agent_org,agent_office_22
29,overview.overview,property_overview.description,listing_detail_stats.listing_detail,,description_21
30,property_details.total_spaces,,Exterior_And_Lot.Parking_Total,,parking_23
31,property_details.stories,,,public_facts.stories,stories_24
32,property_details.lot_size,,"Exterior_And_Lot.Lot_Size_Acres, Exterior_And_Lot.Lot_Size_Square_Feet, Exterior_And_Lot.Lot_Size_Units",public_facts.lot_size,lot_size_25
33,,mortgage.principal_innterest,,price_insights.est._mo._payment,principal_interest_26
34,hoa_and_financial_details.tax_assessed_value,mortgage.hoa,financial_info.Association_Fee,home_facts.hoa_dues,hoa_fees_27
35,,property_overview.home_style,,"home_facts.style, public_facts.style",home_style_7
36,,property_overview.sqft,listing_detail_stats.square_feet,public_facts.total_sq.ft,sqft_28
37,,school_information.elementary_school,Area_And_Schools.Elementary_School,,elementary_school_29
38,,school_information.high_school,Area_And_Schools.High_School,,high_school_30
39,,school_information.middle_school,Area_And_Schools.Middle_Or_Junior_School,,middle_school_31
40,,school_information.school_district,Area_And_Schools.High_School_District,,school_district_32
41,,school_information.property_id,Area_And_Schools.listing_id,,listing_id_1
42,,,interior.Bathrooms_Three_Quarter,,
43,,,Building_And_Construction.Building_Name,,
44,,,Building_And_Construction.Property_Sub_Type,,
45,,,Exterior_And_Lot.listing_id,,
46,,,Area_And_Schools.City,,
47,,,Area_And_Schools.County_Or_Parish,,
48,,,Area_And_Schools.Subdivision_Name,,
49,,,financial_info.listing_id,,
50,,,financial_info.Tax_Year,,
51,,,listing_detail_stats.acres,,
52,,,listing_detail_stats.status,listed_by.status,status_33
53,,,listing_detail_stats.MLS,home_facts.MLS#,mls_34
54,construction_details.new_construction,,,,
55,home_facts.heating,,,,
56,home_facts.cooling,,,,
57,home_facts.parking,,,,
58,,,,,
59,interior_details.basement,,,,
60,interior_details.total_interior_livable_area,,,,
61,interior_details.fireplace,,,,
62,listing_agents.phone_number,,,,
63,overview.house_id,,,,
64,property_details.exterior_features,,,,
65,property_details.on_waterfront,,,,
66,property_details.parcel_number,,,,
67,utility_and_energy_details.house_id,,,,
68,utility_and_energy_details.sun_score,,,,
69,utility_and_energy_details.rent_control,,,,
70,property_details.covered_spaces,,,,
71,property_details.house_id,,,,
72,property_details.parking_features,,,,
73,property_details.garage_spaces,,,,
74,listing_agents.posting_website_link_text,,,,
75,,,,home_facts.listing_id,
76,,,,home_facts.community,
77,,,,main_stats.listing_id,
78,,,,price_insights.listing_id,
79,,,,public_facts.listing_id,
80,,,,public_facts.finished_sq_ft,
81,,,,public_facts.unfinished_sq_ft,
82,,,,public_facts.county,
83,,,,public_facts.APN,
84,construction_details.roof_material,,,,
85,,mortgage.property_tax_section,,,
86,,mortgage.home_insurance,,,
87,,mortgage.property_id,,,
88,,address.longitude,,,
89,,address.latitude,,,
90,,property_overview.lotsize,,,
91,,property_overview.property_id,,,
92,,,,,
93,,offer.validFrom,,,
94,,offer.price_currency,,,
95,,offer.url,,,
